Year,Origin County,Dest County,Dest County Na,Returns, Exemptions ,AGI
2000,89,135,Gwinnett County,6832,13927,271133
2000,89,67,Cobb County,2202,3624,97910
2000,89,63,Clayton County,1485,3062,41220
2000,89,247,Rockdale County,721,1554,27742
2000,89,151,Henry County,542,1180,25350
2000,89,217,Newton County,438,893,16970
2000,89,117,Forsyth County,330,615,25278
2000,89,57,Cherokee County,240,417,11255
2000,89,97,Douglas County,181,324,6014
2000,89,297,Walton County,179,374,8292
2000,89,139,Hall County,173,314,9436
2000,89,113,Fayette County,131,275,7216
2000,89,13,Barrow County,90,177,3433
2000,89,77,Coweta County,89,158,4136
2000,89,223,Paulding County,71,146,2536
2000,89,15,Bartow County,68,123,2322
2000,89,45,Carroll County,63,116,1769
2000,89,255,Spalding County,36,89,1212
2000,97,67,Cobb County,728,1344,24482
2000,97,45,Carroll County,467,1042,18258
2000,97,223,Paulding County,407,895,16090
2000,97,121,Fulton County,243,455,8271
2000,97,89,De Kalb County,121,201,3663
2000,97,135,Gwinnett County,105,189,3961
2000,97,63,Clayton County,72,139,2133
2000,97,151,Henry County,49,93,2077
2000,97,57,Cherokee County,44,84,1849
2000,97,77,Coweta County,38,72,1731
2000,97,113,Fayette County,34,70,1369
2000,97,15,Bartow County,23,54,873
2000,97,117,Forsyth County,13,37,2051
2000,97,247,Rockdale County,13,22,489
2000,97,139,Hall County,10,23,418
2000,113,77,Coweta County,475,998,23038
2000,113,63,Clayton County,314,592,9335
2000,113,121,Fulton County,274,473,10103
2000,113,151,Henry County,147,278,5660
2000,113,67,Cobb County,135,204,6488
2000,113,89,De Kalb County,109,158,6140
2000,113,255,Spalding County,73,135,2538
2000,113,135,Gwinnett County,64,124,3039
2000,113,45,Carroll County,25,50,1068
2000,113,117,Forsyth County,21,62,2048
2000,113,97,Douglas County,17,35,820
2000,113,57,Cherokee County,16,39,454
2000,113,247,Rockdale County,11,17,499
2000,117,121,Fulton County,470,848,38967
2000,117,135,Gwinnett County,329,624,17236
2000,117,139,Hall County,183,373,9718
2000,117,57,Cherokee County,175,369,7803
2000,117,89,De Kalb County,143,217,9682
2000,117,67,Cobb County,127,239,6544
2000,117,13,Barrow County,23,48,1052
2000,117,223,Paulding County,16,29,579
2000,117,15,Bartow County,15,26,571
2000,117,151,Henry County,14,18,519
2000,117,113,Fayette County,12,29,734
2000,121,89,De Kalb County,9140,14764,369251
2000,121,67,Cobb County,5000,8323,244611
2000,121,63,Clayton County,3734,8155,93784
2000,121,135,Gwinnett County,3010,5450,148738
2000,121,117,Forsyth County,1561,3235,129191
2000,121,57,Cherokee County,1137,2112,65200
2000,121,97,Douglas County,435,899,16214
2000,121,113,Fayette County,401,855,18913
2000,121,151,Henry County,400,783,16296
2000,121,77,Coweta County,374,801,19326
2000,121,139,Hall County,193,334,11153
2000,121,247,Rockdale County,142,284,4560
2000,121,223,Paulding County,137,283,5682
2000,121,45,Carroll County,115,227,3452
2000,121,217,Newton County,83,148,3189
2000,121,15,Bartow County,79,153,3723
2000,121,255,Spalding County,73,158,1984
2000,121,13,Barrow County,53,107,2486
2000,121,297,Walton County,41,75,1816
2000,135,89,De Kalb County,3292,5615,122476
2000,135,121,Fulton County,2513,4210,138766
2000,135,67,Cobb County,1083,1892,48536
2000,135,139,Hall County,808,1620,38444
2000,135,117,Forsyth County,759,1674,57338
2000,135,13,Barrow County,732,1556,29582
2000,135,297,Walton County,677,1526,34586
2000,135,63,Clayton County,287,534,8633
2000,135,57,Cherokee County,252,556,13839
2000,135,217,Newton County,244,533,10904
2000,135,151,Henry County,194,358,8826
2000,135,247,Rockdale County,188,376,7565
2000,135,77,Coweta County,96,189,5322
2000,135,113,Fayette County,90,201,6106
2000,135,97,Douglas County,89,163,3334
2000,135,223,Paulding County,71,149,2922
2000,135,15,Bartow County,62,136,3049
2000,135,45,Carroll County,58,116,2500
2000,135,255,Spalding County,13,25,460
2000,139,135,Gwinnett County,449,812,17272
2000,139,117,Forsyth County,128,245,5177
2000,139,121,Fulton County,125,184,5017
2000,139,89,De Kalb County,88,131,2630
2000,139,13,Barrow County,61,128,7295
2000,139,67,Cobb County,57,92,1977
2000,139,57,Cherokee County,29,55,1118
2000,139,297,Walton County,16,39,666
2000,139,77,Coweta County,11,23,486
2000,139,63,Clayton County,10,15,339
2000,139,97,Douglas County,10,12,320
2000,151,63,Clayton County,685,1350,22579
2000,151,255,Spalding County,188,414,5150
2000,151,121,Fulton County,177,334,6556
2000,151,89,De Kalb County,171,303,5057
2000,151,135,Gwinnett County,128,276,9689
2000,151,67,Cobb County,117,177,5379
2000,151,113,Fayette County,115,264,6249
2000,151,217,Newton County,90,199,3763
2000,151,247,Rockdale County,75,155,2212
2000,151,77,Coweta County,64,129,2976
2000,151,97,Douglas County,28,50,1440
2000,151,57,Cherokee County,23,55,1096
2000,151,45,Carroll County,20,34,696
2000,151,297,Walton County,19,45,694
2000,151,223,Paulding County,17,33,755
2000,151,117,Forsyth County,16,36,889
2000,217,247,Rockdale County,373,771,12520
2000,217,89,De Kalb County,116,208,3819
2000,217,135,Gwinnett County,108,216,4075
2000,217,297,Walton County,102,245,3623
2000,217,121,Fulton County,67,95,2080
2000,217,151,Henry County,58,123,2487
2000,217,67,Cobb County,41,56,1476
2000,217,63,Clayton County,28,67,804
2000,217,139,Hall County,15,29,530
2000,217,97,Douglas County,10,30,320
2000,223,67,Cobb County,626,1252,24636
2000,223,97,Douglas County,200,441,6697
2000,223,45,Carroll County,132,300,5181
2000,223,15,Bartow County,102,210,2906
2000,223,57,Cherokee County,81,175,3536
2000,223,121,Fulton County,51,88,1834
2000,223,135,Gwinnett County,49,86,1710
2000,223,89,De Kalb County,35,47,852
2000,223,117,Forsyth County,19,37,967
2000,223,151,Henry County,15,33,624
2000,223,63,Clayton County,11,23,377
2000,247,217,Newton County,726,1532,30188
2000,247,89,De Kalb County,287,560,8997
2000,247,135,Gwinnett County,240,459,9734
2000,247,121,Fulton County,116,176,4598
2000,247,297,Walton County,113,271,4649
2000,247,151,Henry County,109,236,4502
2000,247,67,Cobb County,78,148,3363
2000,247,63,Clayton County,31,51,884
2000,247,117,Forsyth County,16,37,1278
2000,247,57,Cherokee County,15,46,702
2000,247,113,Fayette County,15,35,668
2000,247,97,Douglas County,14,24,376
2000,247,13,Barrow County,13,34,494
2000,247,139,Hall County,13,29,477
2000,247,77,Coweta County,10,20,280
2000,255,151,Henry County,201,474,6294
2000,255,63,Clayton County,145,323,6078
2000,255,113,Fayette County,73,152,3349
2000,255,121,Fulton County,61,93,1531
2000,255,89,De Kalb County,38,60,1155
2000,255,77,Coweta County,37,73,1052
2000,255,67,Cobb County,32,53,816
2000,255,135,Gwinnett County,31,57,1248
2000,297,135,Gwinnett County,249,518,9201
2000,297,217,Newton County,117,262,3208
2000,297,247,Rockdale County,61,126,2046
2000,297,89,De Kalb County,59,102,1860
2000,297,13,Barrow County,58,131,1697
2000,297,121,Fulton County,35,53,1568
2000,297,67,Cobb County,21,28,718
2000,297,151,Henry County,17,35,612
2000,297,139,Hall County,13,26,461
2000,297,57,Cherokee County,11,25,346
2001,13,135,Gwinnett County,415,898,15631
2001,13,297,Walton County,87,195,2188
2001,13,139,Hall County,63,128,2993
2001,13,89,De Kalb County,41,76,1004
2001,13,121,Fulton County,32,48,1177
2001,13,67,Cobb County,20,35,919
2001,13,117,Forsyth County,15,31,706
2001,13,57,Cherokee County,12,25,403
2001,15,67,Cobb County,384,733,14151
2001,15,57,Cherokee County,197,430,7561
2001,15,223,Paulding County,108,230,3831
2001,15,121,Fulton County,60,89,1981
2001,15,135,Gwinnett County,42,83,1557
2001,15,89,De Kalb County,25,40,685
2001,15,45,Carroll County,21,44,944
2001,15,97,Douglas County,19,31,633
2001,15,139,Hall County,15,31,556
2001,15,63,Clayton County,13,21,359
2001,15,117,Forsyth County,11,19,382
2001,45,97,Douglas County,273,539,8203
2001,45,67,Cobb County,138,242,3861
2001,45,121,Fulton County,94,164,3037
2001,45,223,Paulding County,89,196,3207
2001,45,77,Coweta County,69,157,2295
2001,45,89,De Kalb County,61,97,1551
2001,45,135,Gwinnett County,52,82,1860
2001,45,63,Clayton County,34,72,805
2001,45,15,Bartow County,16,26,407
2001,45,151,Henry County,15,28,585
2001,45,57,Cherokee County,11,20,404
2001,45,113,Fayette County,11,25,305
2001,45,117,Forsyth County,11,26,519
2001,45,217,Newton County,10,27,502
2001,57,67,Cobb County,1153,2082,47901
2001,57,121,Fulton County,440,727,23984
2001,57,15,Bartow County,251,576,9357
2001,57,117,Forsyth County,193,436,13976
2001,57,135,Gwinnett County,154,304,8149
2001,57,223,Paulding County,140,263,5787
2001,57,89,De Kalb County,117,165,5218
2001,57,97,Douglas County,32,69,1134
2001,57,139,Hall County,27,40,840
2001,57,45,Carroll County,26,56,1442
2001,57,63,Clayton County,17,28,579
2001,57,113,Fayette County,16,41,1062
2001,57,151,Henry County,16,33,725
2001,57,247,Rockdale County,15,40,879
2001,57,13,Barrow County,11,23,444
2001,57,217,Newton County,10,28,568
2001,63,151,Henry County,2178,4731,88663
2001,63,121,Fulton County,1995,4060,49637
2001,63,89,De Kalb County,969,1892,25384
2001,63,113,Fayette County,532,1220,29624
2001,63,67,Cobb County,511,913,16882
2001,63,135,Gwinnett County,383,720,13178
2001,63,77,Coweta County,312,630,12460
2001,63,255,Spalding County,219,475,6283
2001,63,97,Douglas County,122,248,4332
2001,63,247,Rockdale County,85,181,3103
2001,63,217,Newton County,78,181,2424
2001,63,45,Carroll County,76,160,2433
2001,63,223,Paulding County,51,106,1554
2001,63,57,Cherokee County,40,74,1910
2001,63,117,Forsyth County,36,82,1971
2001,63,139,Hall County,27,45,1029
2001,63,15,Bartow County,22,44,445
2001,63,297,Walton County,21,37,545
2001,63,13,Barrow County,12,22,484
2001,67,121,Fulton County,4266,6439,224180
2001,67,57,Cherokee County,2181,4244,119297
2001,67,89,De Kalb County,2050,3168,86550
2001,67,223,Paulding County,1729,3756,71556
2001,67,135,Gwinnett County,1142,2000,52106
2001,67,97,Douglas County,1080,2262,39431
2001,67,15,Bartow County,863,1752,34261
2001,67,63,Clayton County,506,980,15564
2001,67,45,Carroll County,333,716,15121
2001,67,117,Forsyth County,308,619,30229
2001,67,151,Henry County,200,335,9386
2001,67,77,Coweta County,125,208,7238
2001,67,113,Fayette County,112,221,6987
2001,67,139,Hall County,94,160,5119
2001,67,217,Newton County,55,107,2333
2001,67,247,Rockdale County,54,95,2500
2001,67,13,Barrow County,32,60,1251
2001,67,255,Spalding County,32,60,1076
2001,67,297,Walton County,25,40,759
2001,77,113,Fayette County,248,506,11128
2001,77,121,Fulton County,211,400,9986
2001,77,63,Clayton County,127,246,3823
2001,77,67,Cobb County,97,160,4342
2001,77,45,Carroll County,88,173,2724
2001,77,151,Henry County,77,166,3463
2001,77,89,De Kalb County,64,96,1480
2001,77,135,Gwinnett County,57,112,2328
2001,77,255,Spalding County,41,91,1344
2001,77,97,Douglas County,31,63,1280
2001,77,57,Cherokee County,17,34,679
2001,77,117,Forsyth County,13,35,1082
2001,77,139,Hall County,13,27,558
2001,77,15,Bartow County,12,28,612
2001,77,223,Paulding County,12,24,502
2001,89,121,Fulton County,8220,13407,379081
2001,89,135,Gwinnett County,6786,13939,261154
2001,89,67,Cobb County,2261,3638,105720
2001,89,63,Clayton County,1629,3387,43491
2001,89,247,Rockdale County,737,1619,26290
2001,89,151,Henry County,576,1235,23791
2001,89,217,Newton County,542,1154,20746
2001,89,117,Forsyth County,354,669,27218
2001,89,57,Cherokee County,252,439,12928
2001,89,97,Douglas County,189,372,6549
2001,89,297,Walton County,179,386,8571
2001,89,139,Hall County,158,291,6495
2001,89,113,Fayette County,111,215,5656
2001,89,13,Barrow County,108,207,3714
2001,89,77,Coweta County,83,148,3896
2001,89,45,Carroll County,81,127,3073
2001,89,223,Paulding County,63,107,2277
2001,89,15,Bartow County,56,106,2165
2001,89,255,Spalding County,51,91,1364
2001,97,67,Cobb County,610,1143,22430
2001,97,45,Carroll County,597,1304,26882
2001,97,223,Paulding County,343,755,12375
2001,97,121,Fulton County,294,512,10258
2001,97,89,De Kalb County,145,252,5204
2001,97,63,Clayton County,93,168,2993
2001,97,135,Gwinnett County,91,174,3889
2001,97,151,Henry County,43,65,1456
2001,97,57,Cherokee County,38,63,1531
2001,97,15,Bartow County,33,58,831
2001,97,77,Coweta County,31,51,2827
2001,97,113,Fayette County,24,43,1112
2001,97,117,Forsyth County,19,52,1294
2001,97,247,Rockdale County,17,29,625
2001,97,217,Newton County,15,22,526
2001,113,77,Coweta County,496,1006,24908
2001,113,121,Fulton County,329,555,15200
2001,113,63,Clayton County,327,630,10657
2001,113,151,Henry County,149,308,6351
2001,113,67,Cobb County,146,223,7089
2001,113,89,De Kalb County,105,169,3577
2001,113,255,Spalding County,63,127,1882
2001,113,135,Gwinnett County,62,130,2514
2001,113,97,Douglas County,30,52,972
2001,113,45,Carroll County,24,47,1017
2001,113,117,Forsyth County,15,40,913
2001,113,57,Cherokee County,13,33,938
2001,113,223,Paulding County,12,28,532
2001,113,139,Hall County,11,19,386
2001,113,247,Rockdale County,10,32,618
2001,117,121,Fulton County,573,958,51767
2001,117,135,Gwinnett County,326,622,18382
2001,117,139,Hall County,194,379,8980
2001,117,57,Cherokee County,183,395,11061
2001,117,67,Cobb County,155,265,9003
2001,117,89,De Kalb County,126,200,8695
2001,117,63,Clayton County,18,32,644
2001,117,15,Bartow County,16,43,765
2001,117,13,Barrow County,13,26,466
2001,117,223,Paulding County,12,26,664
2001,117,151,Henry County,11,20,605
2001,117,97,Douglas County,10,19,347
2001,121,89,De Kalb County,8427,13998,365394
2001,121,67,Cobb County,4639,7760,255743
2001,121,63,Clayton County,3656,8150,95362
2001,121,135,Gwinnett County,2602,4615,125578
2001,121,117,Forsyth County,1370,2899,123502
2001,121,57,Cherokee County,1165,2206,68415
2001,121,97,Douglas County,473,921,15579
2001,121,151,Henry County,436,868,27115
2001,121,113,Fayette County,383,799,21723
2001,121,77,Coweta County,352,731,17046
2001,121,139,Hall County,195,345,18610
2001,121,45,Carroll County,150,288,4614
2001,121,223,Paulding County,130,257,5058
2001,121,247,Rockdale County,130,261,4113
2001,121,15,Bartow County,95,169,4680
2001,121,217,Newton County,86,158,2819
2001,121,255,Spalding County,71,140,1855
2001,121,13,Barrow County,50,101,1683
2001,121,297,Walton County,40,72,1933
2001,135,89,De Kalb County,3228,5487,122124
2001,135,121,Fulton County,2554,4223,149885
2001,135,67,Cobb County,1107,1838,50430
2001,135,139,Hall County,854,1731,42071
2001,135,117,Forsyth County,850,1955,81516
2001,135,13,Barrow County,839,1744,30911
2001,135,297,Walton County,649,1424,35464
2001,135,57,Cherokee County,327,627,17904
2001,135,63,Clayton County,308,619,9304
2001,135,151,Henry County,215,454,10411
2001,135,217,Newton County,212,427,9331
2001,135,247,Rockdale County,194,411,8351
2001,135,97,Douglas County,103,179,3804
2001,135,113,Fayette County,95,213,5698
2001,135,223,Paulding County,95,176,3931
2001,135,77,Coweta County,86,179,4878
2001,135,15,Bartow County,71,151,3126
2001,135,45,Carroll County,63,117,2432
2001,135,255,Spalding County,28,50,924
2001,139,135,Gwinnett County,421,785,16253
2001,139,117,Forsyth County,140,279,8007
2001,139,121,Fulton County,135,181,6164
2001,139,89,De Kalb County,104,173,3636
2001,139,67,Cobb County,72,110,2609
2001,139,13,Barrow County,65,147,2162
2001,139,57,Cherokee County,33,68,1692
2001,139,297,Walton County,15,27,458
2001,139,97,Douglas County,12,22,313
2001,139,15,Bartow County,11,24,316
2001,139,151,Henry County,10,13,251
2001,151,63,Clayton County,652,1267,20581
2001,151,255,Spalding County,233,526,7286
2001,151,121,Fulton County,215,359,9562
2001,151,89,De Kalb County,172,283,6903
2001,151,135,Gwinnett County,125,233,5361
2001,151,67,Cobb County,123,209,5497
2001,151,113,Fayette County,97,218,5436
2001,151,77,Coweta County,89,188,4649
2001,151,217,Newton County,89,197,3697
2001,151,247,Rockdale County,74,148,2557
2001,151,97,Douglas County,41,78,1753
2001,151,57,Cherokee County,21,36,1063
2001,151,117,Forsyth County,21,46,1472
2001,151,15,Bartow County,19,47,771
2001,151,45,Carroll County,18,40,547
2001,151,139,Hall County,12,21,558
2001,151,223,Paulding County,10,19,466
2001,217,247,Rockdale County,348,737,11799
2001,217,89,De Kalb County,133,222,3819
2001,217,297,Walton County,116,265,3297
2001,217,135,Gwinnett County,102,209,4042
2001,217,121,Fulton County,57,89,1627
2001,217,151,Henry County,45,99,3115
2001,217,67,Cobb County,28,52,923
2001,217,63,Clayton County,22,42,561
2001,217,45,Carroll County,11,23,427
2001,217,97,Douglas County,11,21,231
2001,223,67,Cobb County,583,1183,22799
2001,223,97,Douglas County,236,522,8452
2001,223,45,Carroll County,145,299,5601
2001,223,15,Bartow County,99,215,4151
2001,223,57,Cherokee County,80,159,3829
2001,223,121,Fulton County,62,96,2063
2001,223,89,De Kalb County,36,63,1186
2001,223,135,Gwinnett County,33,58,1462
2001,223,63,Clayton County,18,35,473
2001,223,117,Forsyth County,17,35,842
2001,223,151,Henry County,15,35,718
2001,223,77,Coweta County,13,30,497
2001,247,217,Newton County,782,1714,31773
2001,247,89,De Kalb County,286,504,11582
2001,247,135,Gwinnett County,252,441,9358
2001,247,121,Fulton County,128,200,5028
2001,247,151,Henry County,108,207,4342
2001,247,297,Walton County,103,229,3953
2001,247,67,Cobb County,66,122,3197
2001,247,63,Clayton County,48,95,1360
2001,247,57,Cherokee County,17,40,982
2001,247,117,Forsyth County,17,38,1009
2001,247,113,Fayette County,15,32,763
2001,247,97,Douglas County,14,28,635
2001,247,13,Barrow County,13,27,462
2001,247,139,Hall County,11,23,409
2001,247,223,Paulding County,10,23,411
2001,255,151,Henry County,217,480,6503
2001,255,63,Clayton County,146,307,6304
2001,255,113,Fayette County,65,135,5053
2001,255,121,Fulton County,65,134,1717
2001,255,77,Coweta County,44,92,1832
2001,255,89,De Kalb County,39,68,1314
2001,255,67,Cobb County,35,60,1116
2001,255,135,Gwinnett County,22,30,635
2001,297,135,Gwinnett County,223,494,9016
2001,297,217,Newton County,126,300,3184
2001,297,13,Barrow County,74,169,1835
2001,297,247,Rockdale County,57,128,1973
2001,297,89,De Kalb County,48,79,1674
2001,297,121,Fulton County,35,50,1925
2001,297,67,Cobb County,16,23,431
2001,297,151,Henry County,14,30,490
2001,297,139,Hall County,11,17,467
2002,13,135,Gwinnett County,396,880,14401
2002,13,297,Walton County,73,169,2788
2002,13,139,Hall County,64,117,2062
2002,13,89,De Kalb County,34,62,1139
2002,13,121,Fulton County,34,47,1077
2002,13,117,Forsyth County,17,43,684
2002,13,67,Cobb County,14,25,435
2002,13,247,Rockdale County,14,24,398
2002,13,57,Cherokee County,10,21,241
2002,13,151,Henry County,10,28,577
2002,15,67,Cobb County,472,871,15528
2002,15,57,Cherokee County,177,377,6999
2002,15,223,Paulding County,123,270,4544
2002,15,121,Fulton County,67,117,2104
2002,15,135,Gwinnett County,43,87,1794
2002,15,89,De Kalb County,29,46,825
2002,15,97,Douglas County,26,60,918
2002,15,45,Carroll County,16,33,517
2002,15,151,Henry County,15,42,562
2002,15,117,Forsyth County,14,24,557
2002,15,63,Clayton County,11,17,265
2002,15,77,Coweta County,10,20,425
2002,45,97,Douglas County,315,651,10468
2002,45,67,Cobb County,160,279,4888
2002,45,223,Paulding County,105,246,3573
2002,45,121,Fulton County,90,151,2533
2002,45,77,Coweta County,62,132,2095
2002,45,89,De Kalb County,57,84,1475
2002,45,135,Gwinnett County,46,92,1628
2002,45,63,Clayton County,28,55,589
2002,45,151,Henry County,25,43,826
2002,45,15,Bartow County,21,48,866
2002,45,113,Fayette County,19,42,894
2002,45,57,Cherokee County,11,23,369
2002,57,67,Cobb County,1238,2354,54044
2002,57,121,Fulton County,514,863,28036
2002,57,15,Bartow County,274,582,10219
2002,57,117,Forsyth County,181,406,10998
2002,57,135,Gwinnett County,171,316,7925
2002,57,223,Paulding County,151,318,5766
2002,57,89,De Kalb County,135,198,6734
2002,57,97,Douglas County,43,72,1478
2002,57,139,Hall County,43,86,1682
2002,57,45,Carroll County,27,56,1321
2002,57,151,Henry County,21,45,2122
2002,57,63,Clayton County,18,27,344
2002,57,113,Fayette County,16,31,696
2002,57,77,Coweta County,15,34,1168
2002,57,13,Barrow County,14,32,857
2002,57,247,Rockdale County,13,31,492
2002,57,297,Walton County,10,18,353
2002,63,151,Henry County,2327,5211,98179
2002,63,121,Fulton County,2157,4511,54404
2002,63,89,De Kalb County,1163,2314,30558
2002,63,67,Cobb County,524,966,16182
2002,63,113,Fayette County,517,1231,26198
2002,63,135,Gwinnett County,356,706,11180
2002,63,77,Coweta County,272,605,12401
2002,63,255,Spalding County,266,558,7807
2002,63,97,Douglas County,128,250,4634
2002,63,217,Newton County,84,181,2988
2002,63,45,Carroll County,80,185,3060
2002,63,247,Rockdale County,79,173,2947
2002,63,57,Cherokee County,53,108,2309
2002,63,223,Paulding County,46,95,1549
2002,63,139,Hall County,31,59,1094
2002,63,117,Forsyth County,28,66,1707
2002,63,15,Bartow County,23,46,813
2002,63,297,Walton County,11,21,334
2002,67,121,Fulton County,3988,6121,219817
2002,67,57,Cherokee County,2353,4571,123786
2002,67,89,De Kalb County,2022,3074,87167
2002,67,223,Paulding County,1833,3905,78539
2002,67,97,Douglas County,1228,2494,50065
2002,67,135,Gwinnett County,1171,2143,54320
2002,67,15,Bartow County,857,1807,36646
2002,67,63,Clayton County,522,1024,16228
2002,67,45,Carroll County,371,781,14586
2002,67,117,Forsyth County,325,668,24270
2002,67,151,Henry County,210,399,10413
2002,67,77,Coweta County,151,274,9500
2002,67,113,Fayette County,114,199,7336
2002,67,139,Hall County,85,165,4601
2002,67,247,Rockdale County,80,138,3088
2002,67,217,Newton County,63,116,2352
2002,67,255,Spalding County,28,43,932
2002,67,297,Walton County,26,50,1206
2002,67,13,Barrow County,20,37,894
2002,77,113,Fayette County,257,571,12158
2002,77,121,Fulton County,250,471,8957
2002,77,63,Clayton County,116,209,4028
2002,77,67,Cobb County,94,161,4277
2002,77,151,Henry County,92,165,3432
2002,77,45,Carroll County,90,206,2538
2002,77,135,Gwinnett County,57,112,2433
2002,77,89,De Kalb County,54,89,2756
2002,77,255,Spalding County,36,57,904
2002,77,97,Douglas County,27,56,1149
2002,77,57,Cherokee County,16,27,987
2002,77,223,Paulding County,13,40,587
2002,77,139,Hall County,11,32,12107
2002,89,121,Fulton County,8234,13592,364899
2002,89,135,Gwinnett County,6780,14073,256261
2002,89,67,Cobb County,2221,3702,97759
2002,89,63,Clayton County,1643,3313,45052
2002,89,247,Rockdale County,943,1953,33323
2002,89,151,Henry County,694,1466,30688
2002,89,217,Newton County,621,1351,22919
2002,89,117,Forsyth County,313,619,26529
2002,89,57,Cherokee County,270,473,13614
2002,89,97,Douglas County,206,386,7427
2002,89,139,Hall County,142,287,7516
2002,89,297,Walton County,142,298,6669
2002,89,113,Fayette County,134,262,6978
2002,89,13,Barrow County,89,170,2663
2002,89,223,Paulding County,82,159,3097
2002,89,77,Coweta County,80,144,3574
2002,89,45,Carroll County,77,133,2721
2002,89,15,Bartow County,53,110,2296
2002,89,255,Spalding County,43,76,1004
2002,97,45,Carroll County,680,1420,28197
2002,97,67,Cobb County,656,1238,22876
2002,97,223,Paulding County,379,825,12794
2002,97,121,Fulton County,302,534,10796
2002,97,89,De Kalb County,136,211,4121
2002,97,135,Gwinnett County,104,186,3776
2002,97,63,Clayton County,78,157,2154
2002,97,151,Henry County,41,84,1466
2002,97,57,Cherokee County,37,64,1760
2002,97,15,Bartow County,36,84,1484
2002,97,77,Coweta County,34,72,1730
2002,97,113,Fayette County,26,63,1465
2002,97,117,Forsyth County,21,45,1269
2002,97,217,Newton County,17,39,763
2002,97,247,Rockdale County,13,21,728
2002,113,77,Coweta County,542,1136,25479
